question,answer
What is the brightest planet we see from Earth?,"Venus is usually brighter, but Mercury can look very bright when conditions are right."
Can you see Mercury during the day?,Very rarely and only with a telescope because the Sun is too bright.
Why does Mercury always show the same side to the Sun sometimes?,"Actually, it spins 3 times for every 2 orbits, so different parts get sunlight."
What is a transit of Mercury?,When Mercury passes directly between Earth and the Sun – it looks like a tiny black dot crossing the Sun.
How often do we study Mercury today?,Scientists use telescopes on Earth and data from the old MESSENGER mission.
Will we send another spacecraft to Mercury?,Yes! A mission called BepiColombo (from Europe and Japan) is on its way and will arrive in 2025–2026.
What is special about Mercury’s orbit?,It’s the most oval (elliptical) orbit of any planet except Pluto.
Why is it hard to send spacecraft to Mercury?,"The Sun’s gravity is so strong that spacecraft have to slow down a lot, which takes many fly-bys."
How many Earth days equal one Mercury day at the equator?,"Because of the slow spin, one full day-night cycle is 176 Earth days."
Is Mercury a rocky planet or a gas planet?,"Mercury is a rocky (terrestrial) planet, like Earth, Venus, and Mars."
What would happen if you dropped a feather and a hammer on Mercury?,They would hit the ground at the same time (just like on the Moon) because there’s almost no air.
What is Mercury?,Mercury is the smallest planet in our Solar System and the closest planet to the Sun.
How far is Mercury from the Sun?,Mercury is about 58 million kilometers (36 million miles) from the Sun on average – much closer than Earth!
Why is Mercury the closest planet to the Sun?,It formed that way billions of years ago when the Solar System was born – it just happened to be the nearest one.
How big is Mercury compared to Earth?,"Mercury is much smaller – if Earth were the size of a basketball, Mercury would be like a tennis ball."
Does Mercury have any moons?,"No, Mercury has zero moons."
What is the surface of Mercury like?,"It’s rocky, gray, and covered in thousands of craters from asteroid hits, just like our Moon."
Why does Mercury have so many craters?,"It has almost no air or atmosphere to burn up space rocks, so they crash right into it."
How hot does Mercury get during the day?,It can reach over 400°C (800°F) – hotter than an oven!
Why is Mercury so hot?,It’s very close to the Sun and the sunlight is super strong there.
How cold does Mercury get at night?,It can drop to -170°C (-280°F) – colder than a freezer!
Why does Mercury get so cold at night?,"It has almost no atmosphere to trap the heat, so all the warmth escapes into space."
How long is one day on Mercury?,One day (sunrise to sunrise) on Mercury lasts 176 Earth days – that’s a very long school day!
How long is one year on Mercury?,A year on Mercury is only 88 Earth days because it zooms around the Sun so fast.
Does Mercury have an atmosphere?,It has a very thin layer of gas called an exosphere – it’s almost like having no air at all.
Why can’t people breathe on Mercury?,"There’s almost no oxygen and the air is way too thin, hot, and full of radiation."
What color is Mercury?,"Mercury looks gray and rocky, a bit like the Moon."
Who was Mercury named after?,It was named after the speedy messenger of the Roman gods because it moves so fast across the sky.
Can we see Mercury from Earth without a telescope?,Yes! It’s sometimes visible just after sunset or before sunrise – it’s called the “evening star” or “morning star.”
What spacecraft have visited Mercury?,Two spacecraft: Mariner 10 in the 1970s and MESSENGER from 2004–2015.
What did MESSENGER discover?,"It found ice in deep craters near the poles that never see sunlight, even though Mercury is super hot!"
Is there ice on Mercury?,"Yes, hidden in shadowy craters at the north and south poles where the Sun never shines."
Why doesn’t the ice melt on Mercury?,"Those craters are always in shadow and super cold, and there’s no air to carry heat to them."
How fast does Mercury travel around the Sun?,It zooms at about 47 kilometers per second (29 miles per second) – the fastest planet!
Does Mercury have rings like Saturn?,"No, Mercury has no rings at all."
What is the biggest crater on Mercury?,It’s the Caloris Basin – so huge you could fit the whole state of Texas inside it!
Why is Mercury’s sky black even in daytime?,"It has almost no atmosphere to scatter sunlight, so the sky stays black and you can see stars during the day."
Can people ever live on Mercury?,"Probably not – it’s too hot, too cold, no air, and too much radiation from the Sun."
How many times could Mercury fit inside Earth?,About 18 Mercurys could fit inside Earth.
What is Mercury mostly made of?,It has a huge iron core (almost 75% of the planet) covered by a thin rocky layer.
Why does Mercury have such a big iron core?,"Scientists think a giant crash long ago knocked away most of the rocky outside, leaving the heavy iron."
Is Mercury shrinking?,"Yes! It’s slowly cooling inside and shrinking a tiny bit, making wrinkle-like cliffs."
What are those wrinkle cliffs called?,They’re called “scarps” or “lobate scarps.”
How long would it take to drive around Mercury in a car?,"If you drove 100 km/h without stopping, it would take about 60 Earth days to go all the way around."
Can you explain why Mercury has no seasons?,"Actually, Mercury has almost no tilt, so it doesn’t really have seasons like Earth."
Where is the hottest place on Mercury?,Right at the point facing the Sun at noon – it can get hotter than 430°C!
Where is the coldest place on Mercury?,In the bottoms of polar craters that never see sunlight.
Why does the Sun look bigger from Mercury?,"Because Mercury is closer to the Sun, the Sun appears almost three times bigger than from Earth."
What is Mercury’s gravity like compared to Earth?,It’s only about 38% of Earth’s gravity – you would weigh much less and could jump really high!
How many people have walked on Mercury?,Zero – no human has ever been there; only robots!
What is the brightest planet we see from Earth?,"Venus is usually brighter, but Mercury can look very bright when conditions are right."
Can you see Mercury during the day?,Very rarely and only with a telescope because the Sun is too bright.
Why does Mercury always show the same side to the Sun sometimes?,"Actually, it spins 3 times for every 2 orbits, so different parts get sunlight."
What is a transit of Mercury?,When Mercury passes directly between Earth and the Sun – it looks like a tiny black dot crossing the Sun.
How often do we study Mercury today?,Scientists use telescopes on Earth and data from the old MESSENGER mission.
Will we send another spacecraft to Mercury?,Yes! A mission called BepiColombo (from Europe and Japan) is on its way and will arrive in 2025–2026.
What is special about Mercury’s orbit?,It’s the most oval (elliptical) orbit of any planet except Pluto.
Why is it hard to send spacecraft to Mercury?,"The Sun’s gravity is so strong that spacecraft have to slow down a lot, which takes many fly-bys."
How many Earth days equal one Mercury day at the equator?,"Because of the slow spin, one full day-night cycle is 176 Earth days."
Is Mercury a rocky planet or a gas planet?,"Mercury is a rocky (terrestrial) planet, like Earth, Venus, and Mars."
What would happen if you dropped a feather and a hammer on Mercury?,They would hit the ground at the same time (just like on the Moon) because there’s almost no air.
What is Mercury?,Mercury is the smallest planet in our Solar System and the closest planet to the Sun.
How far is Mercury from the Sun?,Mercury is about 58 million kilometers (36 million miles) from the Sun on average – much closer than Earth!
Why is Mercury the closest planet to the Sun?,It formed that way billions of years ago when the Solar System was born – it just happened to be the nearest one.
